Column Name,Data Type,Null Count,Unique Values,Sample Values
VIN,object,0,98,['3HCFDDE89SH220903' '1HRFFEE8XSZ230636' '1HYKSMRK6SZ000990']
TRANSACTION_ID,int64,0,32,[13021 13028 13035]
CORRECTION_VERBATIM,object,0,93,"['REPLACED STEERING WHEEL NOW OKAY'
 ""CHECKED - FOUND DTC'S U0229 - U1530 SET IN BCM. FOUND PIP5883J, VERIFI ED RPO OPTIONS. TESTED PER SI - WAS INCONCLUSIVE.TESTEDPERWIRING SC HEMATIC - ALL CIRCUITS TESTED OK. LOOKS LIKE FAULTY HEATED S-W MODULE. ORDERED NEW MODULE 9-26-23.1-2, REPLACEDHEATED S-W MODULE.""
 'APPROVED 4.9(OLH) FOR ADDED DIAGNOSTICS WITH TCSC TO FIGURE OUT AND CO MPLETE PROGRAMMING WHILE REPLACING THE STEERING WHEELASSEMBLY. ROB W. 1-2-24 3-31PM OLH FOR OPEN TAC CASE, CONTACT TCSC CASE # 9-1156925877 4 MULTIPLE TIMES AND COMPLETED DRIVE MOTORSOFTWARE UPDATE PROGRAMMING . PERFORMED SYSTEM CHECK AS PER CUSTOMERS CONCERN, STEERING WHEEL COMI NG APART. CONTACTED TAC CASE#9-11503916151 "" PLEASE BE AWARE IF A DEA LER RECEIVES A REPLACEMENT SUPER CRUISE STEERING WHEEL PART NUMBER 850 13816. ONCEINSTALLED THEY WILL NEED TO CONTACT TCSC AND REQUEST THIS BELOW. APPLIES TO 2023 AND 2024. ORDER AND REPLACED STEERING WHEEL, CONTACTED TCSC MANY TIMES AND ALSO GET ASSISTANCE FROM FSE BILL M. TO CO MPLETED PROGRAMMING. PER TCSC PROGRAMMED DRIVE MOTOR CONTROLMODULE 1 WCC-FDYZ196959052 PROG, SET UP WCC-0SYY196956992. AFTER PROGRAMMING CO MPLETED PERFORMED A DRIVE CYCLE AND CHECK STEERINGWHEEL OPERATION, OP ERATING NORMALLY AT THIS TIME. MILEAGE IN 5522, MILEAGE OUT 5532. CHAR GE VEHICLE SOON!!!']"
CUSTOMER_VERBATIM,object,0,100,"['STEERING WHEEL COMING APART'
 'CUSTOMER STATES HEATED STEERING WHEEL INOP'
 'OWNER REPORTS: THE SUPER CRUISE BAR ON THE STEERING WHEEL IS COMING OF F. CHECK AND ADVISE. ADVISOR RUNNING PRA TOOL.']"
REPAIR_DATE,datetime64[ns],0,29,"<DatetimeArray>
['2024-01-02 00:00:00', '2024-01-03 00:00:00', '2024-01-04 00:00:00']
Length: 3, dtype: datetime64[ns]"
CAUSAL_PART_NM,object,5,18,"['WHEEL ASM-STRG *JET BLACK' 'MODULE ASM-STRG WHL HT CONT'
 'WHEEL ASM-STRG *BACKEN BLACKK']"
GLOBAL_LABOR_CODE_DESCRIPTION,object,0,4,"['Steering Wheel Replacement' 'Heated Steering Wheel Module Replacement'
 'Steering Wheel Horn Switch Wiring Harness Replacement']"
PLATFORM,object,0,11,['Full-Size Trucks' 'BEV' 'Global Crossover Vehicles']
BODY_STYLE,object,0,6,['Crew Cab' '4 Door Utility' '4 Door Sedan']
VPPC,object,0,26,['T1CCF' 'T1CGF' 'L233-LSOP']
PLANT,object,1,11,['SIL' 'FTW' 'SHT']
BUILD_COUNTRY,object,0,3,['MX' 'US' 'CA']
LAST_KNOWN_DLR_NAME,object,0,100,['Silverstone Motors' 'Elite Auto Group' 'CrossRoads Dealership']
LAST_KNOWN_DLR_CITY,object,0,94,['ST JOHNS' 'FISHERS' 'SAN DIEGO']
REPAIRING_DEALER_CODE,object,0,95,['13-13992/309484' '13-14819/243038' '11-46466/119152']
DEALER_NAME,object,0,100,['Apex Auto Sales' 'SilverPeak Motors' 'Quantum Car Traders']
REPAIR_DLR_CITY,object,0,93,['ST JOHNS' 'GRAND RAPIDS' 'SAN DIEGO']
STATE,object,2,39,['MI' 'MN' 'CA']
DEALER_REGION,int64,0,2,[1 4]
REPAIR_DLR_POSTAL_CD,object,2,92,[488799101 557444215 921083521]
REPAIR_AGE,int64,0,35,[6 5 9]
KM,int64,0,100,[ 8872 16346  8887]
COMPLAINT_CD_CSI,int64,0,1,[0]
COMPLAINT_CD,object,0,7,['0-0310' '0-0890' '0-0621']
VEH_TEST_GRP,object,2,23,['T03.0354' 'T00.0006' 'T06.2375']
COUNTRY_SALE_ISO,object,0,6,['US' 'IL' 'CA']
ORD_SELLING_SRC_CD,int64,0,7,[13 48 12]
OPTN_FAMLY_CERTIFICATION,object,10,3,['FE9' 'YF5' 'NE1']
OPTF_FAMLY_EMISSIOF_SYSTEM,object,5,8,['FTB' 'FF6' 'FUC']
GLOBAL_LABOR_CODE,int64,0,4,[ 130 2400   20]
TRANSACTION_CATEGORY,object,0,2,['FREG' 'FREG_POL']
CAMPAIGN_NBR,float64,100,0,[]
REPORTING_COST,float64,0,100,[ 370.03  307.32 2457.45]
TOTALCOST,float64,0,100,[ 370.03  307.32 3205.45]
LBRCOST,float64,0,99,[  61.46  291.14 1012.67]
ENGINE,object,0,12,['LZ0' 'EN0' 'L87']
ENGINE_DESC,object,0,12,"['DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, ALUM, CSS50V, VAR. 2'
 'NONE' 'GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5']"
TRANSMISSION,object,0,19,['MQC' 'MF1' 'MHS']
TRANSMISSION_DESC,object,0,20,"['BYT 10 SPD, 10L80, ATSS, ETRS, CPA, GEN 2' 'NONE'
 'BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1']"
ENGINE_SOURCE_PLANT,object,12,9,[70628511 830107152 812040194]
ENGINE_TRACE_NBR,object,12,88,['V2210281MFTX0488' 'V2210291MFTX0188' 'N2210821MFYX0482']
TRANSMISSION_SOURCE_PLANT,float64,12,6,[2.8782700e+05 1.7749294e+07 8.2297298e+08]
TRANSMISSION_TRACE_NBR,object,12,88,['S2210121CNJX0941' 'R2210881CNJX0287' 'S1210822CKJX0291']
SRC_TXN_ID,int64,0,100,[2808908219 2808841910 2809979441]
SRC_VER_NBR,int64,0,10,[6 4 8]
TRANSACTION_CNTR,int64,0,1,[1]
MEDIA_FLAG,object,0,2,['N' 'Y']
VIN_MODL_DESGTR,object,0,41,['CF10543' 'TF10543' '6MB26']
LINE_SERIES,object,1,22,[1500 'Lux-1' 'Premium Luxury']
LAST_KNOWN_DELVRY_TYPE_CD,float64,2,11,[21. 10. 16.]
NON_CAUSAL_PART_QTY,int64,0,2,[0 1]
SALES_REGION_CODE,int64,0,2,[1 4]
